Année;Trimestre;code typeProd;typeprod;NB;MW
2011;3;600;Autres;0;0.0
2011;3;400;Bio énergie;14;11.76
2011;4;500;Cogénération;41;112.39
2011;1;200;Eolien;28;212.59
2011;1;300;Hydraulique;20;9.71
2011;2;300;Hydraulique;11;3.87
2011;2;100;Photovoltaïque;21421;378.04
2011;1;600;Autres;1;6.65
2011;1;400;Bio énergie;13;6.32
2011;2;400;Bio énergie;4;10.95
2011;1;100;Photovoltaïque;35164;313.19
2011;2;600;Autres;6;29.98
2011;1;500;Cogénération;6;25.06
2011;2;200;Eolien;22;129.59
2011;3;200;Eolien;25;197.3
2011;3;100;Photovoltaïque;12189;418.31
2011;4;600;Autres;2;9.82
2011;4;400;Bio énergie;10;8.6
2011;2;500;Cogénération;1;0.04
2011;3;500;Cogénération;1;1.99
2011;4;200;Eolien;25;129.66
2011;3;300;Hydraulique;14;7.52
2011;4;300;Hydraulique;21;10.42
2011;4;100;Photovoltaïque;8782;395.88
