Année;Trimestre;code typeProd;typeprod;NB;MW
2014;1;500;Cogénération;2;8.69
2014;1;200;Eolien;17;108.87
2014;3;200;Eolien;25;224.68
2014;1;100;Photovoltaïque;7066;189.09
2014;2;100;Photovoltaïque;6979;206.61
2014;4;400;Bio énergie;18;22.71
2014;4;500;Cogénération;24;76.32
2014;4;100;Photovoltaïque;5324;186.26
2014;4;600;Autres;1;0.99
2014;1;400;Bio énergie;23;47.54
2014;2;400;Bio énergie;15;5.42
2014;3;400;Bio énergie;22;25.95
2014;2;500;Cogénération;0;0.0
2014;3;500;Cogénération;0;0.0
2014;3;300;Hydraulique;18;7.76
2014;4;300;Hydraulique;27;25.21
2014;3;100;Photovoltaïque;6294;275.65
2014;1;600;Autres;5;7.9
2014;3;600;Autres;1;0.8
2014;2;300;Hydraulique;18;2.72
2014;2;600;Autres;2;10.08
2014;2;200;Eolien;31;267.67
2014;4;200;Eolien;40;346.75
2014;1;300;Hydraulique;34;4.34
