Année;Trimestre;code typeProd;typeprod;NB;MW
2015;1;600;Autres;4;10.55
2015;2;600;Autres;1;5.0
2015;3;600;Autres;1;2.5
2015;2;400;Bio énergie;22;32.81
2015;1;500;Cogénération;5;26.94
2015;3;500;Cogénération;2;0.11
2015;2;200;Eolien;16;133.54
2015;4;300;Hydraulique;43;35.16
2015;1;200;Eolien;20;214.59
2015;2;300;Hydraulique;24;4.17
2015;3;300;Hydraulique;22;2.53
2015;3;100;Photovoltaïque;4078;155.1
2015;4;600;Autres;1;0.25
2015;3;400;Bio énergie;12;6.35
2015;4;400;Bio énergie;11;5.54
2015;1;300;Hydraulique;29;17.19
2015;1;100;Photovoltaïque;4440;211.4
2015;2;100;Photovoltaïque;3991;155.46
2015;2;500;Cogénération;1;0.04
2015;4;500;Cogénération;36;86.77
2015;3;200;Eolien;27;242.77
2015;1;400;Bio énergie;23;10.79
2015;4;200;Eolien;30;292.34
2015;4;100;Photovoltaïque;4417;86.27
