Année;Trimestre;code typeProd;typeprod;NB;MW
2009;4;600;Autres;0;0.0
2009;2;400;Bio énergie;0;0.0
2009;2;500;Cogénération;1;2.0
2009;3;300;Hydraulique;15;5.88
2009;4;100;Photovoltaïque;13157;67.48
2009;1;600;Autres;2;14.85
2009;1;400;Bio énergie;9;14.37
2009;3;500;Cogénération;2;0.05
2009;1;200;Eolien;39;276.04
2009;2;200;Eolien;42;288.93
2009;4;200;Eolien;45;296.6
2009;2;600;Autres;0;0.0
2009;3;400;Bio énergie;6;16.55
2009;4;500;Cogénération;21;59.56
2009;3;200;Eolien;37;239.47
2009;4;300;Hydraulique;19;6.56
2009;4;400;Bio énergie;8;12.76
2009;2;300;Hydraulique;10;4.66
2009;3;600;Autres;0;0.0
2009;1;500;Cogénération;6;34.44
2009;1;300;Hydraulique;16;7.88
2009;1;100;Photovoltaïque;7049;30.58
2009;2;100;Photovoltaïque;7825;38.16
2009;3;100;Photovoltaïque;9079;44.02
