Année;Trimestre;code typeProd;typeprod;NB;MW
2012;3;600;Autres;1;6.76
2012;4;400;Bio énergie;17;21.75
2012;1;200;Eolien;18;97.61
2012;3;300;Hydraulique;25;12.99
2012;1;600;Autres;16;109.88
2012;2;200;Eolien;16;121.59
2012;1;300;Hydraulique;19;6.65
2012;1;100;Photovoltaïque;9435;309.34
2012;4;100;Photovoltaïque;8192;83.9
2012;1;400;Bio énergie;20;31.2
2012;3;400;Bio énergie;14;20.71
2012;1;500;Cogénération;9;23.56
2012;2;500;Cogénération;1;0.02
2012;3;200;Eolien;34;259.43
2012;4;300;Hydraulique;220;126.48
2012;3;100;Photovoltaïque;7656;96.56
2012;4;600;Autres;2;5.4
2012;2;400;Bio énergie;22;18.4
2012;4;500;Cogénération;23;58.36
2012;3;500;Cogénération;4;4.45
2012;4;200;Eolien;32;246.63
2012;2;600;Autres;19;123.87
2012;2;300;Hydraulique;21;10.73
2012;2;100;Photovoltaïque;7881;226.43
