Année;Trimestre;code typeProd;typeprod;NB;MW
2010;3;600;Autres;0;0.0
2010;4;600;Autres;6;44.07
2010;4;400;Bio énergie;9;4.7
2010;1;500;Cogénération;3;10.33
2010;4;500;Cogénération;27;66.11
2010;2;200;Eolien;25;209.68
2010;1;300;Hydraulique;18;14.1
2010;4;300;Hydraulique;22;30.92
2010;2;400;Bio énergie;4;5.39
2010;1;100;Photovoltaïque;21476;94.45
2010;2;600;Autres;0;0.0
2010;1;400;Bio énergie;6;13.31
2010;1;200;Eolien;31;125.27
2010;4;200;Eolien;43;361.81
2010;3;300;Hydraulique;7;1.5
2010;3;100;Photovoltaïque;30280;218.79
2010;1;600;Autres;0;0.0
2010;3;200;Eolien;49;386.54
2010;2;500;Cogénération;2;1.38
2010;3;500;Cogénération;0;0.0
2010;3;400;Bio énergie;11;14.68
2010;2;300;Hydraulique;11;4.15
2010;2;100;Photovoltaïque;19275;140.25
2010;4;100;Photovoltaïque;31524;233.78
